source,stage,expected,observed
ensemble,calibrated,0.11,0.015384615384615385
ensemble,calibrated,0.12,0.015384615384615385
ensemble,calibrated,0.13,0.015384615384615385
ensemble,calibrated,0.14,0.015384615384615385
ensemble,calibrated,0.15000000000000002,0.015384615384615385
ensemble,calibrated,0.16,0.015384615384615385
ensemble,calibrated,0.17,0.015384615384615385
ensemble,calibrated,0.18000000000000002,0.015384615384615385
ensemble,calibrated,0.19,0.019230769230769232
ensemble,calibrated,0.2,0.019230769230769232
ensemble,calibrated,0.21000000000000002,0.023076923076923078
ensemble,calibrated,0.22,0.023076923076923078
ensemble,calibrated,0.23,0.026923076923076925
ensemble,calibrated,0.24000000000000002,0.026923076923076925
ensemble,calibrated,0.25,0.03076923076923077
ensemble,calibrated,0.26,0.03076923076923077
ensemble,calibrated,0.27,0.03461538461538462
ensemble,calibrated,0.28,0.038461538461538464
ensemble,calibrated,0.29000000000000004,0.038461538461538464
ensemble,calibrated,0.3,0.038461538461538464
ensemble,calibrated,0.31,0.038461538461538464
ensemble,calibrated,0.32,0.038461538461538464
ensemble,calibrated,0.33,0.038461538461538464
ensemble,calibrated,0.34,0.04230769230769231
ensemble,calibrated,0.35000000000000003,0.046153846153846156
ensemble,calibrated,0.36000000000000004,0.05
ensemble,calibrated,0.37,0.06153846153846154
ensemble,calibrated,0.38,0.06153846153846154
ensemble,calibrated,0.39,0.06153846153846154
ensemble,calibrated,0.4,0.06153846153846154
ensemble,calibrated,0.41000000000000003,0.06923076923076923
ensemble,calibrated,0.42000000000000004,0.07307692307692308
ensemble,calibrated,0.43,0.07307692307692308
ensemble,calibrated,0.44,0.07692307692307693
ensemble,calibrated,0.45,0.07692307692307693
ensemble,calibrated,0.46,0.07692307692307693
ensemble,calibrated,0.47000000000000003,0.07692307692307693
ensemble,calibrated,0.48000000000000004,0.07692307692307693
ensemble,calibrated,0.49,0.08076923076923077
ensemble,calibrated,0.5,0.08461538461538462
ensemble,calibrated,0.51,0.08846153846153847
ensemble,calibrated,0.52,0.08846153846153847
ensemble,calibrated,0.53,0.08846153846153847
ensemble,calibrated,0.54,0.08846153846153847
ensemble,calibrated,0.55,0.08846153846153847
ensemble,calibrated,0.56,0.08846153846153847
ensemble,calibrated,0.5700000000000001,0.09230769230769231
ensemble,calibrated,0.5800000000000001,0.1
ensemble,calibrated,0.59,0.10384615384615385
ensemble,calibrated,0.6,0.10384615384615385
ensemble,calibrated,0.61,0.10384615384615385
ensemble,calibrated,0.62,0.10384615384615385
ensemble,calibrated,0.63,0.1076923076923077
ensemble,calibrated,0.64,0.11153846153846154
ensemble,calibrated,0.65,0.11153846153846154
ensemble,calibrated,0.66,0.11538461538461539
ensemble,calibrated,0.67,0.11538461538461539
ensemble,calibrated,0.68,0.11538461538461539
ensemble,calibrated,0.6900000000000001,0.11923076923076924
ensemble,calibrated,0.7000000000000001,0.11923076923076924
ensemble,calibrated,0.7100000000000001,0.11923076923076924
ensemble,calibrated,0.72,0.11923076923076924
ensemble,calibrated,0.73,0.12692307692307692
ensemble,calibrated,0.74,0.13076923076923078
ensemble,calibrated,0.75,0.13076923076923078
ensemble,calibrated,0.76,0.1346153846153846
ensemble,calibrated,0.77,0.13846153846153847
ensemble,calibrated,0.78,0.13846153846153847
ensemble,calibrated,0.79,0.1423076923076923
ensemble,calibrated,0.8,0.14615384615384616
ensemble,calibrated,0.81,0.15
ensemble,calibrated,0.8200000000000001,0.15
ensemble,calibrated,0.8300000000000001,0.16538461538461538
ensemble,calibrated,0.8400000000000001,0.17307692307692307
ensemble,calibrated,0.85,0.17692307692307693
ensemble,calibrated,0.86,0.18076923076923077
ensemble,calibrated,0.87,0.19230769230769232
ensemble,calibrated,0.88,0.19230769230769232
ensemble,calibrated,0.89,0.19615384615384615
ensemble,calibrated,0.9,0.2
ensemble,calibrated,0.91,0.20384615384615384
ensemble,calibrated,0.92,0.21923076923076923
ensemble,calibrated,0.93,0.2230769230769231
ensemble,calibrated,0.9400000000000001,0.22692307692307692
ensemble,calibrated,0.9500000000000001,0.24615384615384617
ensemble,calibrated,0.9600000000000001,0.2653846153846154
ensemble,calibrated,0.97,0.27692307692307694
ensemble,calibrated,0.98,0.3
ensemble,calibrated,0.99,0.3346153846153846
model,calibrated,0.01,0.011538461538461539
model,calibrated,0.02,0.019230769230769232
model,calibrated,0.03,0.023076923076923078
model,calibrated,0.04,0.026923076923076925
model,calibrated,0.05,0.03461538461538462
model,calibrated,0.060000000000000005,0.046153846153846156
model,calibrated,0.06999999999999999,0.057692307692307696
model,calibrated,0.08,0.07692307692307693
model,calibrated,0.09,0.08076923076923077
model,calibrated,0.09999999999999999,0.09230769230769231
model,calibrated,0.11,0.1
model,calibrated,0.12,0.11923076923076924
model,calibrated,0.13,0.13076923076923078
model,calibrated,0.14,0.14615384615384616
model,calibrated,0.15000000000000002,0.1576923076923077
model,calibrated,0.16,0.17307692307692307
model,calibrated,0.17,0.2
model,calibrated,0.18000000000000002,0.21923076923076923
model,calibrated,0.19,0.23461538461538461
model,calibrated,0.2,0.2423076923076923
model,calibrated,0.21000000000000002,0.25
model,calibrated,0.22,0.25769230769230766
model,calibrated,0.23,0.2692307692307692
model,calibrated,0.24000000000000002,0.3038461538461538
model,calibrated,0.25,0.3153846153846154
model,calibrated,0.26,0.3384615384615385
model,calibrated,0.27,0.34615384615384615
model,calibrated,0.28,0.3576923076923077
model,calibrated,0.29000000000000004,0.36923076923076925
model,calibrated,0.3,0.3730769230769231
model,calibrated,0.31,0.38076923076923075
model,calibrated,0.32,0.38846153846153847
model,calibrated,0.33,0.39615384615384613
model,calibrated,0.34,0.4115384615384615
model,calibrated,0.35000000000000003,0.4153846153846154
model,calibrated,0.36000000000000004,0.4269230769230769
model,calibrated,0.37,0.4346153846153846
model,calibrated,0.38,0.4461538461538462
model,calibrated,0.39,0.4576923076923077
model,calibrated,0.4,0.46153846153846156
model,calibrated,0.41000000000000003,0.46923076923076923
model,calibrated,0.42000000000000004,0.47307692307692306
model,calibrated,0.43,0.5
model,calibrated,0.44,0.5115384615384615
model,calibrated,0.45,0.5192307692307693
model,calibrated,0.46,0.5384615384615384
model,calibrated,0.47000000000000003,0.5576923076923077
model,calibrated,0.48000000000000004,0.5615384615384615
model,calibrated,0.49,0.5769230769230769
model,calibrated,0.5,0.5846153846153846
model,calibrated,0.51,0.5961538461538461
model,calibrated,0.52,0.6038461538461538
model,calibrated,0.53,0.6192307692307693
model,calibrated,0.54,0.6307692307692307
model,calibrated,0.55,0.6384615384615384
model,calibrated,0.56,0.65
model,calibrated,0.5700000000000001,0.6576923076923077
model,calibrated,0.5800000000000001,0.6576923076923077
model,calibrated,0.59,0.6692307692307692
model,calibrated,0.6,0.6807692307692308
model,calibrated,0.61,0.6846153846153846
model,calibrated,0.62,0.6923076923076923
model,calibrated,0.63,0.7076923076923077
model,calibrated,0.64,0.7192307692307692
model,calibrated,0.65,0.7269230769230769
model,calibrated,0.66,0.7384615384615385
model,calibrated,0.67,0.75
model,calibrated,0.68,0.7615384615384615
model,calibrated,0.6900000000000001,0.7653846153846153
model,calibrated,0.7000000000000001,0.7692307692307693
model,calibrated,0.7100000000000001,0.7846153846153846
model,calibrated,0.72,0.7884615384615384
model,calibrated,0.73,0.7884615384615384
model,calibrated,0.74,0.7923076923076923
model,calibrated,0.75,0.7961538461538461
model,calibrated,0.76,0.8038461538461539
model,calibrated,0.77,0.8038461538461539
model,calibrated,0.78,0.8076923076923077
model,calibrated,0.79,0.8269230769230769
model,calibrated,0.8,0.8346153846153846
model,calibrated,0.81,0.85
model,calibrated,0.8200000000000001,0.8538461538461538
model,calibrated,0.8300000000000001,0.8615384615384616
model,calibrated,0.8400000000000001,0.8730769230769231
model,calibrated,0.85,0.8769230769230769
model,calibrated,0.86,0.8807692307692307
model,calibrated,0.87,0.8846153846153846
model,calibrated,0.88,0.8961538461538462
model,calibrated,0.89,0.9
model,calibrated,0.9,0.9
model,calibrated,0.91,0.9038461538461539
model,calibrated,0.92,0.9076923076923077
model,calibrated,0.93,0.9153846153846154
model,calibrated,0.9400000000000001,0.9192307692307692
model,calibrated,0.9500000000000001,0.9461538461538461
model,calibrated,0.9600000000000001,0.9461538461538461
model,calibrated,0.97,0.9538461538461539
model,calibrated,0.98,0.9615384615384616
model,calibrated,0.99,0.9769230769230769
