config,model_kind,n_seeds,seeds,unseeded_only,n_eval,prior_eval,encoder_family,encoder_init,encoder_target,embedding_native_dim,embedding_pca_dim,has_embedding,has_readout,readout_dim,has_descriptors,descriptor_sources,descriptor_pca_width,regressor,train_data,n_features,ffn_hidden_dim,freeze_epochs,gradient_clip_val,aux_use_observed_readout,aux_use_predicted_readout,encoder_finetune_target,aux_encoder_target,aux_readout_tasks,calibration,axes_source,mae_mean,mae_sd,rmse_mean,rmse_sd,rae_mean,rae_sd,r2_mean,r2_sd,kendall_tau_mean,kendall_tau_sd,spearman_rho_mean,spearman_rho_sd,config_fingerprint,spec_source
e4_finetune,gnn,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,log2fc_checkpoint_pretrained,log2fc,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,2,1.0,False,False,pec50,none,,none,configs/e4_*.yaml @ main,0.5573152933845742,0.01140122259674402,0.7668021429222279,0.01285161317626213,0.7324980961632279,0.01498500749069763,0.406284734756562,0.01991288363022803,0.5025440691492721,0.01344510286153982,0.6917700205455093,0.015147526571273688,5be626d3f86f827c,parsed_config+yaml_comment
tabpfn_mordred_only_pca128_no_embed_no_readout,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,False,0,True,mordred,128,tabpfn,drc_plus_primary,128,,,,,,log2fc,none,,none,recorded,0.5784427900974659,0.0021642998165205896,0.7887960291298397,0.0009056331608633155,0.7602666704381292,0.0028446115043783476,0.37187817204775053,0.0014427938045125403,0.4830002738152789,0.0016091969373293999,0.671922424930431,0.0016759562271373683,b1fdd19622709d31,launch_script
e4_frozen_drc_only,gnn,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,log2fc_checkpoint_pretrained,log2fc,512,,True,False,512,False,,,N/A,drc_only,,512,50,1.0,False,False,pec50,none,,none,configs/e4_*.yaml @ main,0.5849414144370988,0.047972220763876534,0.7878556693968998,0.04873705024532721,0.7688080293654111,0.06305149131088648,0.37145723930520996,0.07654097935021212,0.5248432592090809,0.018619251023753676,0.7173406303534943,0.019891211195541027,c3ed9b4fdb39dce3,parsed_config+yaml_comment
feat_observed_and_predicted_2task,gnn,1,-1,True,513,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,True,512,False,,,N/A,drc_plus_primary,,512,2,1.0,True,True,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",0.6576736127284535,,0.8121112741266086,,0.864402385756813,,0.3341980299947881,,0.5244317788020177,,0.7163495869737964,,321063da9af7fac0,parsed_config
feat_observed_2task,gnn,1,-1,True,513,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,True,512,False,,,N/A,drc_plus_primary,,512,2,1.0,True,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",0.6998549227314851,,0.8474621289439831,,0.9198426897241592,,0.2749723054312918,,0.5047873993685202,,0.695667458453205,,321063da9af7fac0,parsed_config
feat_observed_4task,gnn,1,-1,True,513,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,True,512,False,,,N/A,drc_plus_primary,,512,2,1.0,True,False,pec50,log2fc,4,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",0.7651796877825702,,0.935321807800938,,1.0057012093094293,,0.1168466566371903,,0.464904279913545,,0.6517614172685693,,321063da9af7fac0,parsed_config
freeze0_hd1024_clip1.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,0,1.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze0_hd1024_clip5.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,0,5.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze0_hd1024_clipoff,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,0,,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze0_hd512_clip1.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,0,1.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
